Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.22     40.38     0.10 59513808     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > >, std::_Select1st<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >, std::less<int>, std::allocator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > >::_S_left(std::_Rb_tree_node_base*)
  0.22     40.48     0.10 45602325     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > >, std::_Select1st<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >, std::less<int>, std::allocator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > >::_M_begin()
  0.22     40.58     0.10 45601076     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::end() const
  0.22     40.68     0.10 45601003     0.00     0.00  std::unique_ptr<arti::FeatureProgram, std::default_delete<arti::FeatureProgram> >::get() const
  0.22     40.78     0.10 45600975     0.00     0.00  std::_Fwd_list_iterator<AnnotatedData>::operator++(int)
  0.22     40.88     0.10 34251950     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_S_right(std::_Rb_tree_node_base*)
  0.22     40.98     0.10 20132274     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<arti::Square> >::allocate(unsigned int, void const*)
  0.20     41.07     0.09 62761217     0.00     0.00  std::_Identity<arti::Square>::operator()(arti::Square const&) const
  0.20     41.16     0.09 45602630     0.00     0.00  std::map<int, std::list<AnnotatedData, std::allocator<AnnotatedData> >, std::less<int>, std::allocator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > >::end()
  0.20     41.25     0.09 45600975     0.00     0.00  std::map<std::string, arti::Region, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::lower_bound(std::string const&) const
  0.20     41.34     0.09 45600975     0.00     0.00  std::_List_base<AnnotatedData, std::allocator<AnnotatedData> >::_M_get_node()
  0.20     41.43     0.09 22699152     0.00     0.00  arti::Region::add(unsigned short, unsigned short)
  0.20     41.52     0.09 20132130     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<arti::Square>*&, std::_Rb_tree_node<arti::Square>*&, void>(std::_Rb_tree_node<arti::Square>*&, std::_Rb_tree_node<arti::Square>*&)
  0.20     41.61     0.09 20132130     0.00     0.00  std::pair<std::_Rb_tree_iterator<arti::Square>, bool>::pair<std::_Rb_tree_iterator<arti::Square>, bool, void>(std::_Rb_tree_iterator<arti::Square>&&, bool&&)
  0.20     41.70     0.09 16213680     0.00     0.00  arti::Board::const_iterator::operator*() const
  0.20     41.79     0.09  4256091     0.00     0.00  annotate(arti::Board::const_iterator const&)
  0.18     41.87     0.08 67678807     0.00     0.00  std::_Select1st<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >::operator()(std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > const&) const
  0.18     41.95     0.08 50541532     0.00     0.00  arti::EntropyMeasure<arti::MatchOutcome>::counts()
  0.18     42.03     0.08 45736089     0.00     0.00  AnnotatedBoard::AnnotatedBoard(AnnotatedBoard const&)
  0.18     42.11     0.08 45600975     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::key_comp() const
  0.18     42.19     0.08 37426578     0.00     0.00  std::_Identity<arti::Square>::operator()(arti::Square&) const
  0.18     42.27     0.08 20132274     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_M_destroy_node(std::_Rb_tree_node<arti::Square>*)
  0.18     42.35     0.08 20132130     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<arti::Square>, bool>::pair<std::_Rb_tree_iterator<arti::Square>&, bool&, void>(std::_Rb_tree_iterator<arti::Square>&, bool&)
  0.18     42.43     0.08 20131986     0.00     0.00  std::_Rb_tree_node<arti::Square>* std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_M_create_node<arti::Square>(arti::Square&&)
  0.18     42.51     0.08    67557     0.00     0.00  AnnotatedBoard::AnnotatedBoard(arti::Board const&)
  0.16     42.58     0.07 50552623     0.00     0.00  std::_Rb_tree<arti::MatchOutcome, std::pair<arti::MatchOutcome const, int>, std::_Select1st<std::pair<arti::MatchOutcome const, int> >, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::_M_end()
  0.16     42.65     0.07 45601003     0.00     0.00  std::_Tuple_impl<0u, arti::FeatureProgram*, std::default_delete<arti::FeatureProgram> >::_M_head(std::_Tuple_impl<0u, arti::FeatureProgram*, std::default_delete<arti::FeatureProgram> > const&)
  0.16     42.72     0.07 45601003     0.00     0.00  std::__add_c_ref<arti::FeatureProgram*>::type std::__get_helper<0u, arti::FeatureProgram*, std::default_delete<arti::FeatureProgram> >(std::_Tuple_impl<0u, arti::FeatureProgram*, std::default_delete<arti::FeatureProgram> > const&)
  0.16     42.79     0.07 45601000     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::_M_end() const
  0.16     42.86     0.07 45600975     0.00     0.00  std::map<std::string, arti::Region, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::key_comp() const
  0.16     42.93     0.07 40264260     0.00     0.00  std::_Rb_tree_node<arti::Square>*& std::forward<std::_Rb_tree_node<arti::Square>*&>(std::remove_reference<std::_Rb_tree_node<arti::Square>*&>::type&)
  0.16     43.00     0.07 33373421     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_S_key(std::_Rb_tree_node<arti::Square> const*)
  0.16     43.07     0.07 22969649     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_M_begin()
  0.16     43.14     0.07 20132274     0.00     0.00  arti::Square::Square(arti::Square const&, bool)
  0.16     43.21     0.07 20131986     0.00     0.00  _ZNSt16allocator_traitsISaISt13_Rb_tree_nodeIN4arti6SquareEEEE12_S_constructIS3_IS2_EEENSt9enable_ifIXsrNS5_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS4_PS9_DpOSA_
  0.16     43.28     0.07 10809145     0.00     0.00  std::_Rb_tree_iterator<arti::Square>::operator==(std::_Rb_tree_iterator<arti::Square> const&) const
  0.13     43.34     0.06 50537135     0.00     0.00  std::map<arti::MatchOutcome, int, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::key_comp() const
